PotID	PlantNum_Initial	FH_Num	FecundityNum	SurvivalNum	Mortality	6_12_total_num	6_12_late_germ_num	6_12_duplicate_num	Damaged_pot
344	19	18	0	18	1	18	0	0	NA
345	20	12	0	12	8	20	0	0	NA
346	19	5	3	8	11	19	0	0	NA
347	20	0	0	0	20	20	0	0	NA
348	20	10	0	10	10	19	0	0	NA
349	19	10	6	16	3	18	0	0	NA
350	15	14	0	14	1	15	0	0	NA
351	20	0	12	12	8	19	0	0	NA
352	20	5	0	5	15	20	0	0	NA
353	20	14	0	14	6	19	0	0	NA
354	11	0	0	0	11	12	0	1	NA
355	19	2	2	4	15	12	0	0	NA
356	15	8	4	12	3	15	0	0	NA
357	20	11	6	17	3	20	0	0	NA
358	20	13	0	13	7	20	0	0	NA
359	20	8	5	13	7	17	0	0	NA
360	20	0	10	10	10	14	0	0	NA
361	17	8	0	8	9	14	0	0	NA
362	16	0	0	0	16	15	2	0	damaged
363	18	0	0	0	18	17	0	0	damaged
364	19	9	15	24	-5	20	0	1	NA
365	18	0	17	17	1	14	0	0	damaged
366	18	0	16	16	2	18	0	0	NA
367	20	0	0	0	20	21	1	0	damaged
368	16	0	0	0	16	16	0	0	damaged
369	19	13	0	13	6	18	0	0	NA
370	20	0	10	10	10	20	0	0	NA
371	19	8	0	8	11	18	0	0	damaged
372	20	0	20	20	0	20	0	0	NA
373	17	11	0	11	6	15	0	0	NA
374	10	0	0	0	10	10	1	0	NA
375	19	0	13	13	6	13	0	0	NA
376	20	8	0	8	12	20	0	0	damaged
377	17	10	0	10	7	17	0	0	NA
378	16	0	0	0	16	17	0	0	damaged
379	19	5	7	12	7	18	0	0	NA
380	18	0	15	15	3	16	0	0	NA
381	20	1	14	15	5	17	0	0	NA
382	19	5	6	11	8	18	0	0	NA
383	19	0	8	8	11	17	0	0	damaged
384	20	0	19	19	1	18	0	0	damaged
385	17	0	10	10	7	17	1	0	NA
386	3	0	0	0	3	3	0	0	NA
387	18	0	21	21	-3	19	0	0	NA
388	9	0	5	5	4	8	0	0	NA
389	17	0	16	16	1	17	0	0	NA
390	20	0	0	0	20	20	0	0	damaged
391	17	7	5	12	5	17	0	0	NA
392	20	0	10	10	10	20	0	0	damaged
393	17	0	17	17	0	17	0	0	NA
394	20	11	0	11	9	20	0	0	NA
395	19	17	0	17	2	19	0	0	NA
396	16	0	0	0	16	0	0	0	damaged
397	18	3	0	3	15	18	0	0	NA
398	20	17	0	17	3	20	0	0	NA
399	20	0	0	0	20	20	0	0	NA
400	20	18	0	18	2	20	0	0	NA
401	19	6	0	6	13	19	0	0	NA
402	19	5	4	9	10	17	0	0	NA
403	19	4	13	17	2	18	0	0	NA
404	18	0	18	18	0	18	0	0	NA
405	17	0	0	0	17	16	0	0	NA
406	20	4	0	4	16	20	0	0	damaged
407	16	0	0	0	16	15	0	0	NA
408	18	8	1	9	9	18	0	0	NA
409	20	0	17	17	3	17	0	0	NA
410	18	0	2	2	16	19	0	0	damaged
411	4	1	0	1	3	4	1	0	NA
412	3	0	3	3	0	3	0	0	NA
413	17	10	3	13	4	18	1	0	NA
414	18	0	5	5	13	16	0	0	NA
415	19	0	0	0	19	18	0	0	NA
416	17	6	23	29	-12	17	0	0	NA
417	14	15	0	15	-1	16	0	0	NA
418	18	0	13	13	5	14	0	0	NA
419	20	0	17	17	3	17	0	0	NA
420	18	17	0	17	1	18	0	0	NA
421	20	13	0	13	7	20	0	0	NA
422	20	9	2	11	9	20	0	0	NA
423	19	16	0	16	3	18	0	0	NA
424	20	12	0	12	8	20	0	0	NA
425	18	12	0	12	6	17	0	0	NA
426	19	16	0	16	3	16	0	0	NA
427	20	4	0	4	16	9	1	0	NA
428	19	9	0	9	10	15	2	0	NA
429	17	7	3	10	7	16	0	0	NA
430	18	9	0	9	9	17	0	0	NA
431	20	0	12	12	8	20	0	0	NA
432	20	18	0	18	2	18	0	0	NA
433	13	12	0	12	1	13	0	0	NA
434	19	1	2	3	16	15	2	0	NA
435	16	7	4	11	5	13	0	0	NA
436	16	0	0	0	16	14	1	0	damaged
437	13	11	0	11	2	13	1	2	NA
438	19	4	10	14	5	21	2	0	damaged
439	18	0	0	0	18	16	0	0	damaged
440	14	4	0	4	10	11	0	0	damaged
441	16	17	0	17	-1	23	9	0	NA
442	20	2	18	20	0	20	0	0	NA
443	18	4	3	7	11	19	0	1	NA
444	14	0	2	2	12	10	0	0	damaged
445	16	0	6	6	10	16	0	0	NA
446	15	2	17	19	-4	14	0	0	NA
447	20	4	4	8	12	21	0	1	NA
448	20	19	0	19	1	20	0	0	NA
449	14	9	0	9	5	14	0	1	NA
450	17	9	5	14	3	11	0	0	damaged
451	17	2	0	2	15	18	2	1	NA
452	17	0	7	7	10	15	0	0	NA
453	18	10	2	12	6	16	1	0	NA
454	19	0	3	3	16	19	1	0	NA
455	4	2	0	2	2	5	2	0	NA
456	14	0	6	6	8	8	0	0	NA
