"PotID","Pot.ID.QR.Code","stripNo","BinNo","plotType","divLevel","trt","lines1","lines2","lines3","lines4","lines5","lines6","lines7","lines8","lines9","lines10","lines11","lines12","lines13","lines14","lines15","lines16","lines17","lines18","lines19","lines20","GermRating","PlantNum_Initial","CanopyArea","SPAD","SLA_Area","SLA_Wt","SLA_Wt_notes","SLA","FH_Wt","FH_Num","FT.5.29.30.18","FT.6.4.18","FT.6.8.18","FT.6.12.18","FT.6.15.18","FT.6.19.18","FT.6.21.18","FT.6.26.18","FT.6.29.18","FT.7.6.18","FT.7.10.18","Notes_for_FT","Notes_for_SLA_SPAD","cow.damage.from.photos","Damaged_pot","FH_Wtsqrt","FT1001_mean","FT1001_min","FT1001_max","FT1001_q90","FT1001_q10","FT1001_16_mean","FT1001_16_min","FT1001_16_max","FT1001_16_q90","FT1001_16_q10","FT1001_var","FT1001_16_var","FT1001plast_mean","FT1001plast_var","PC5dist_mean","tmin_meangro_mean","Min.Tmp.Cld.M_mean","groseason_mean","tmean_4_mean","Latitude_mean","Latitude_mean2","Latitude_q10","Latitude_var","Longitude_mean","Longitude_q90","Ngenotypes","meanKin","meanGenD","treeDiv"
111,"111-A-div-10-C","A",5,"div",10,"C","CS77387","CS78841","CS77057","CS76692","CS76513","CS77020","CS76632","CS77004","CS77000","CS76695","","","","","","","","","","","MostGerm",20,12.33,NA,NA,NA,"",NA,0.1408,2,0,1,25,50,50,"75",75,75,75,75,75,"dug up by animal 7-3-18","","","damaged",0.375233260785874,64.945833333,50.875,83,82.1374999985,52.5625,57.266666666,40,82.75,75.174999997,43.15,162.526639656117,227.357716034469,-15.358333334,153.53248455558,7.13548595325561,83.6671428571429,-25.7,8.2,98.8,45.74804,2092.8831638416,41.29864,28.8701708604444,19.138654,49.60279,10,6.36776925424949,0.942336757566079,19.8159272272502
320,"320-C-mono-1-C","C",4,"mono",1,"C","CS76994","","","","","","","","","","","","","","","","","","","","MostGerm",20,7.27,NA,NA,NA,"",NA,0.2055,0,0,25,25,1,5,"75",75,100,100,100,100,"herbivory damage on 6/12/18","","","",0.453321078265725,55.5,55.5,55.5,55.5,55.5,41.25,41.25,41.25,41.25,41.25,0,0,-28.5,0,10.5401146197568,20,-201,2,44,49.5,2450.25,49.5,0,73.1,73.1,1,7.32260312387646,0,0
118,"118-A-div-10-C","A",5,"div",10,"C","CS77229","CS76692","CS77020","CS76741","CS77387","CS76691","CS77000","CS76693","CS76958","CS76689","","","","","","","","","","","MostGerm",17,16.27,NA,NA,NA,"",NA,0.1289,4,0,1,1,1,25,"25",25,25,25,25,25,"no tag, partially, 6/20","","","",0.359026461420325,72.233333333165,50.875,91.25,83.825,52.5625,69.083333333,40,90.5,83.75,49.45,186.024382712387,255.694444440556,-6.30000000033,90.7580246981997,7.75221481504978,74.6865800865801,-84.6,6.8,78.5,46.05536,2121.0961847296,40.984,30.6907383182222,36.4315,79.748,10,6.40630184357939,0.90578707265815,17.6560300409004
110,"110-A-div-10-S","A",5,"div",10,"S","CS77387","CS78841","CS77057","CS76692","CS76513","CS77020","CS76632","CS77004","CS77000","CS76695","","","","","","","","","","","MostGerm",17,4.87,NA,NA,NA,"",NA,0.0388,2,0,1,1,1,25,"0",25,25,25,25,25,"partially washed out on 6/10/18","","","damaged",0.196977156035922,64.945833333,50.875,83,82.1374999985,52.5625,57.266666666,40,82.75,75.174999997,43.15,162.526639656117,227.357716034469,-15.358333334,153.53248455558,7.13548595325561,83.6671428571429,-25.7,8.2,98.8,45.74804,2092.8831638416,41.29864,28.8701708604444,19.138654,49.60279,10,6.36776925424949,0.942336757566079,19.8159272272502
370,"370-D-div-2-C","D",1,"div",2,"C","CS77126","CS76632","","","","","","","","","","","","","","","","","","","MostGerm",20,12,NA,NA,NA,"",NA,0.1052,0,0,75,75,50,75,"75",75,75,100,100,100,"started to dry","","","",0.324345494804537,56.4375,51.625,61.25,60.2875,52.5875,43.25,42.5,44,43.85,42.65,46.3203125,1.125,-26.375,132.03125,4.98455665311391,76.5555555555555,-13,8.5,84,51.85415,2688.8528722225,51.49747,0.397564445,4.33085,8.30617,2,6.82255957530787,0.480391549712651,2.88662247737344
312,"312-C-pred-2-C","C",3,"pred",2,"C","CS77287","CS77387","","","","","","","","","","","","","","","","","","","MostGerm",15,NA,NA,NA,NA,"",NA,0.1087,0,1,75,75,75,75,"75",75,100,100,100,100,"starting to brown","","","",0.329696830436691,46.5,42.125,50.875,50,43,41.25,32,50.5,48.65,33.85,38.28125,171.125,-10.5,190.125,8.35347044394308,87.5568181818182,42,11.5,113.5,43.385,1882.258225,43.373,0.000450000000000034,-6.44,-5.68,2,6.86674272743698,0.455717444103118,3.40252606750535
314,"314-C-mono-1-C","C",4,"mono",1,"C","CS77287","","","","","","","","","","","","","","","","","","","","MostGerm",20,7.48,NA,NA,NA,"",NA,0.0578,0,1,100,100,100,100,"100",100,100,100,100,100,"starting to brown","","","",0.240416305603426,42.125,42.125,42.125,42.125,42.125,32,32,32,32,32,0,0,-20.25,0,8.79222574777616,86.3636363636364,44,11,115,43.4,1883.56,43.4,0,-7.39,-7.39,1,7.32260312387646,0,0
360,"360-C-mono-1-S","C",5,"mono",1,"S","CS76790","","","","","","","","","","","","","","","","","","","","MostGerm",20,2.77,NA,NA,NA,"",NA,0.0367,0,0,25,0,50,75,"75",75,75,75,75,75,"starting to brown","","","",0.19157244060668,55.875,55.875,55.875,55.875,55.875,50.5,50.5,50.5,50.5,50.5,0,0,-10.75,0,5.88185656524076,76.7272727272727,10,11,109,47.4,2246.76,47.4,0,0.683333,0.683333,1,7.32260312387646,0,0
452,"452-D-mono-1-S","D",4,"mono",1,"S","CS77179","","","","","","","","","","","","","","","","","","","","MostGerm",17,2.47,25.3,0.1,0.275,"",0.364,0.0537,0,0,0,25,25,50,"75",75,75,75,75,75,"starting to brown 6/20","","","",0.231732604525129,50.875,50.875,50.875,50.875,50.875,41.75,41.75,41.75,41.75,41.75,0,0,-18.25,0,4.31182341212135,52,-28,9,69,42.1,1772.41,42.1,0,-2.56,-2.56,1,7.32260312387646,0,0
138,"138-B-mono-1-C","B",1,"mono",1,"C","CS77004","","","","","","","","","","","","","","","","","","","","MostGerm",20,1.53,NA,0.07,0.157,"",0.446,0.0315,3,0,0,0,0,0,"0",0,0,0,0,0,"washed out on 6/10/18","","","damaged",0.177482393492988,81.5,81.5,81.5,81.5,81.5,71.75,71.75,71.75,71.75,71.75,0,0,-19.5,0,6.97181094764357,110.666666666667,-28,9,124,41.8296,1749.71543616,41.8296,0,46.2831,46.2831,1,7.32260312387646,0,0
