"PotID","Pot.ID.QR.Code","stripNo","BinNo","plotType","divLevel","trt","typePlot"
453,"453-D-div-20-C","D",4,"div",20,"C",NA
454,"454-D-div-20-C","D",4,"div",20,"C",NA
455,"455-D-mono-1-C","D",4,"mono",1,"C",NA
456,"456-D-div-2-S","D",4,"div",2,"S",NA
457,"457-D-mono-1-C","D",5,"mono",1,"C",NA
459,"459-D-mono-1-C","D",5,"mono",1,"C",NA
460,"460-D-mono-1-S","D",5,"mono",1,"S",NA
461,"461-D-pred-20-C","D",5,"pred",20,"C","Gdiv"
462,"462-D-mono-1-S","D",5,"mono",1,"S",NA
465,"465-D-mono-1-C","D",5,"mono",1,"C",NA
466,"466-D-div-2-S","D",5,"div",2,"S",NA
469,"469-D-mono-1-C","D",5,"mono",1,"C",NA
470,"470-D-mono-1-S","D",5,"mono",1,"S",NA
471,"471-D-mono-1-C","D",5,"mono",1,"C",NA
472,"472-D-div-2-S","D",5,"div",2,"S",NA
474,"474-D-div-10-S","D",5,"div",10,"S",NA
475,"475-D-mono-1-S","D",5,"mono",1,"S",NA
476,"476-D-mono-1-C","D",5,"mono",1,"C",NA
477,"477-D-mono-1-C","D",5,"mono",1,"C",NA
479,"479-D-mono-1-C","D",5,"mono",1,"C",NA
480,"480-D-mono-1-S","D",5,"mono",1,"S",NA
